,normalising_temperature,tempering_temperature,percent_silicon,percent_chromium,percent_copper,percent_nickel,percent_sulphur,percent_carbon,percent_manganese,tensile_strength
210,437.5,900,0.0,1.524863644,0.8572,0.9489,0.0533,1.9184,0.9569,149.7128186
211,437.5,950,0.0,1.177699566,0.8572,0.9489,0.0533,1.9184,0.9569,218.046785
212,437.5,950,0.0,1.489855582,0.8572,0.9489,0.0533,1.9184,0.9569,226.3894446
213,437.5,375,0.0,1.637807634,0.82,1.1,0.0,1.82,0.0,70.04041946
214,437.5,900,0.0,1.655703971,0.82,1.1,0.0,1.82,0.0,114.7874119
215,437.85,950,0.1668,1.609989314,0.6941,0.9776,0.0,2.035,0.0,262.4297341
216,437.85,375,0.1668,0.953299025,0.6941,0.9776,0.0,2.035,0.0,106.4257917
217,437.85,275,0.1668,1.068575298,0.6941,0.9776,0.0,2.035,0.0,53.52195345
218,437.85,900,0.1668,1.084953361,0.6941,0.9776,0.0,2.035,0.0,203.3030302
219,439.8975,275,0.0,1.649975638,0.75773,1.0284,0.0575,1.8845,1.1827,94.72710764
220,439.8975,550,0.0,1.094782767,0.75773,1.0284,0.0575,1.8845,1.1827,164.6158424
221,439.8975,900,0.0,1.682213304,0.75773,1.0284,0.0575,1.8845,1.1827,163.0989952
222,439.8975,950,0.0,1.048109116,0.75773,1.0284,0.0575,1.8845,1.1827,203.3333672
223,439.8975,950,0.0,0.901678533,0.75773,1.0284,0.0575,1.8845,1.1827,239.6997788
224,439.8975,275,0.0,1.107000694,0.75773,1.0284,0.0635,1.8845,1.1827,72.16400554
225,439.8975,550,0.0,1.028483875,0.75773,1.0284,0.0635,1.8845,1.1827,134.3547407
226,439.8975,900,0.0,1.031975201,0.75773,1.0284,0.0635,1.8845,1.1827,179.6326297
227,439.8975,950,0.0,1.514337066,0.75773,1.0284,0.0635,1.8845,1.1827,201.5131505
228,439.8975,950,0.0,1.320613637,0.75773,1.0284,0.0635,1.8845,1.1827,243.1506062
229,439.8975,275,0.0,1.102638809,0.7543,1.0436,0.0575,1.9294,1.1827,65.90701084
230,439.8975,550,0.0,1.075872284,0.7543,1.0436,0.0575,1.9294,1.1827,113.9910671
231,439.8975,900,0.0,1.724310144,0.7543,1.0436,0.0575,1.9294,1.1827,183.0076147
232,439.8975,950,0.0,1.186600275,0.7543,1.0436,0.0575,1.9294,1.1827,215.9611201
233,439.8975,950,0.0,1.648558734,0.7543,1.0436,0.0575,1.9294,1.1827,220.8150311
234,440.6675,275,0.0,1.321236992,0.89976,1.006,0.1235,1.4614,0.9994,115.6216778
235,440.6675,550,0.0,1.363164726,0.89976,1.006,0.1235,1.4614,0.9994,183.4626688
236,440.6675,900,0.0,0.952381767,0.89976,1.006,0.1235,1.4614,0.9994,186.6859691
237,440.6675,950,0.0,0.909599404,0.89976,1.006,0.1235,1.4614,0.9994,242.7713944
238,440.6675,950,0.0,1.074347273,0.89976,1.006,0.1235,1.4614,0.9994,249.5213644
239,441.0,375,0.0,1.71918549,0.784,1.111,0.0,1.85,0.0,75.42522702
240,441.0,900,0.0,1.55766863,0.784,1.111,0.0,1.85,0.0,108.3028901
241,441.0,375,0.0,1.512060632,0.784,1.111,0.0,1.86,0.0,63.06292234
242,441.0,900,0.0,1.269982183,0.784,1.111,0.0,1.85,0.0,108.3028901
243,441.0,900,0.097,1.001373942,0.821,0.835,0.08,1.94,0.76,183.6901959
244,441.175,900,0.0971,1.577989567,0.8214,0.8355,0.083,1.938,0.756,183.6977802
245,441.5425,275,0.0,0.903326178,0.88901,0.98776,0.1417,1.4625,0.9875,119.7930076
246,441.5425,550,0.0,1.552280156,0.88901,0.98776,0.1417,1.4625,0.9875,232.6085181
247,441.5425,900,0.0,0.888617259,0.88901,0.98776,0.1417,1.4625,0.9875,278.30354
248,441.5425,950,0.0,1.090686339,0.88901,0.98776,0.1417,1.4625,0.9875,307.0477945
249,441.5425,950,0.0,1.344898545,0.88901,0.98776,0.1417,1.4625,0.9875,335.2232312
250,441.875,900,0.0,1.443232252,0.7843,1.1116,0.0,1.857,0.0,108.7086467
251,441.875,375,0.0,1.029501591,0.7843,1.1116,0.0,1.857,0.0,63.16151741
252,444.5,275,0.0,1.436531296,0.863,0.968,0.0,1.98,0.0,51.193593
253,444.5,950,0.0,1.053319867,0.863,0.968,0.0,1.98,0.0,148.1959714
254,444.5,950,0.0,0.86416787,0.863,0.968,0.0,1.98,0.0,151.9501683
255,444.5,950,0.0,1.147270995,0.863,0.968,0.0,1.98,0.0,163.8194976
256,446.25,950,0.0,1.124539278,0.945,0.8898,0.0,1.92,0.0,120.2253091
257,446.25,375,0.0,1.300077321,0.945,0.8898,0.0,1.92,0.0,56.22194147
258,446.25,900,0.0,1.055500105,0.945,0.8898,0.0,1.92,0.0,103.1038963
259,446.25,275,0.0,0.848428978,0.945,0.8898,0.0,1.92,0.0,45.12241208
260,446.25,900,0.099,1.568463345,0.749,0.919,0.06,1.89,0.77,185.8896244
261,446.775,900,0.0988,1.025252463,0.7493,0.919,0.065,1.886,0.77,185.8934165
262,447.125,375,0.1703,0.956874899,0.7243,1.0266,0.0,1.857,0.0,94.79915788
263,447.125,900,0.1703,1.48481838,0.7243,1.0266,0.0,1.857,0.0,176.2841895
264,454.825,900,0.1006,1.442659281,0.7629,0.9357,0.104,1.706,0.784,273.7529984
265,455.0,900,0.101,1.477747363,0.763,0.936,0.1,1.71,0.78,273.7529984
266,456.575,900,0.1005,1.334764719,0.7615,0.8645,0.086,2.006,0.783,178.2067933
267,456.75,900,0.1,0.766762019,0.761,0.864,0.09,2.01,0.78,178.1916248
268,458.325,900,0.1105,1.4209708,0.7326,0.8952,0.05,1.954,0.861,185.4535308
269,458.5,900,0.111,1.276766272,0.733,0.895,0.05,1.95,0.86,185.4345702
270,462.875,900,0.111,0.745782666,0.7904,0.8326,0.059,1.955,0.865,228.4826937
271,463.75,900,0.111,1.326246696,0.79,0.833,0.06,1.95,0.86,228.4751095
272,465.5,950,0.114,1.358544149,0.67,0.932,0.0,2.28,0.0,258.6641609
273,465.5,900,0.114,0.821857227,0.67,0.932,0.0,2.28,0.0,252.1985997
274,465.5,950,0.114,1.32602556,0.67,0.932,0.0,2.28,0.0,267.825918
275,465.5,900,0.112,1.383996818,0.745,0.91,0.1,1.78,0.87,216.7953861
276,465.85,900,0.1123,1.335847346,0.7445,0.9097,0.104,1.779,0.875,216.8181388
277,477.05,900,0.0,1.584274223,0.7622,0.9313,0.106,1.987,0.896,177.3497746
278,477.4,375,0.1819,1.120544621,0.7143,1.0124,0.0,1.857,0.0,108.7086467
279,477.4,900,0.1819,1.257332523,0.7143,1.0124,0.0,1.857,0.0,172.5982508
280,477.4,900,0.1051,1.065511992,0.6797,0.904,0.09,2.097,0.818,204.4406656
281,477.75,900,0.105,1.520239761,0.68,0.904,0.09,2.1,0.82,204.4330814
282,477.75,900,0.0,1.676318577,0.762,0.931,0.11,1.99,0.9,177.3194377
283,481.25,900,0.18,1.341833032,0.765,0.83,0.1035,1.62,1.2,419.2944873
284,481.25,375,0.0,1.752171256,0.808,1.088,0.0,1.83,0.0,78.1176308
285,481.25,900,0.0,1.514210553,0.808,1.088,0.0,1.83,0.0,134.7339525
286,481.3725,275,0.0,1.685414654,0.7775,1.0536,0.099,1.5948,1.2135,130.9039134
287,481.3725,550,0.0,1.3055562,0.7775,1.0536,0.099,1.5948,1.2135,213.2307951
288,481.3725,900,0.0,1.763484295,0.7775,1.0536,0.099,1.5948,1.2135,282.3231851
289,481.3725,950,0.0,0.939814556,0.7775,1.0536,0.099,1.5948,1.2135,312.6601291
290,481.3725,950,0.0,1.315755264,0.7775,1.0536,0.099,1.5948,1.2135,322.33003
291,483.0,900,0.116,1.093635432,0.768,0.87,0.09,1.8,0.9,243.529818
292,483.7,900,0.116,1.106843049,0.7683,0.8701,0.089,1.796,0.903,243.563947
293,484.75,550,0.0,1.588946527,0.856,0.968,0.0,1.91,0.0,116.9489191
294,484.75,900,0.0,1.101594281,0.856,0.968,0.0,1.91,0.0,142.8111639
295,484.75,275,0.0,0.866634893,0.856,0.968,0.0,1.91,0.0,62.49410464
296,484.75,950,0.0,1.687673565,0.856,0.968,0.0,1.91,0.0,171.8967089
297,484.75,950,0.0,0.94441496,0.856,0.968,0.0,1.91,0.0,177.812413
298,484.75,950,0.0,0.84472908,0.856,0.968,0.0,1.91,0.0,185.3587278
299,484.75,900,0.117,1.162438489,0.666,0.946,0.07,1.91,0.91,239.6618576
300,484.75,900,0.1168,1.320114988,0.6656,0.9465,0.07,1.906,0.91,239.6808182
301,484.8375,275,0.0,0.954315644,0.87561,0.9739,0.1183,1.606,0.9739,127.2634801
302,484.8375,550,0.0,0.901517087,0.87561,0.9739,0.1183,1.606,0.9739,230.3711685
303,484.8375,900,0.0,1.063046423,0.87561,0.9739,0.1183,1.606,0.9739,265.5620235
304,484.8375,950,0.0,1.146155855,0.87561,0.9739,0.1183,1.606,0.9739,280.6925744
305,484.8375,950,0.0,0.97164602,0.87561,0.9739,0.1183,1.606,0.9739,306.0239226
306,485.0825,275,0.09782,1.47585085,0.78246,1.0617,0.1119,1.607,0.2446,167.4599309
307,485.0825,550,0.09782,1.629940431,0.78246,1.0617,0.1119,1.607,0.2446,262.4145656
308,485.0825,900,0.09782,1.73445639,0.78246,1.0617,0.1119,1.607,0.2446,347.2821664
309,485.0825,950,0.09782,0.997499349,0.78246,1.0617,0.1119,1.607,0.2446,367.5320766
310,485.0825,950,0.09782,1.706043888,0.78246,1.0617,0.1119,1.607,0.2446,368.2146578
311,489.65,900,0.1289,1.086280132,0.8049,0.8251,0.095,1.724,1.004,290.548289
312,490.0,900,0.129,0.94121106,0.805,0.825,0.09,1.72,1.0,290.51416
313,491.75,375,0.0,1.603217389,0.774,1.104,0.0,1.86,0.0,79.74824154
314,491.75,900,0.0,1.371971752,0.774,1.104,0.0,1.85,0.0,123.3955197
315,491.75,900,0.0,1.14351324,0.774,1.104,0.0,1.86,0.0,123.3955197
316,497.0,900,0.015,1.040648615,0.801,0.842,0.0546,1.79,1.41,240.5340447
317,497.0,275,0.015,0.99766271,0.801,0.842,0.0546,1.79,1.41,73.67543543
318,497.0,375,0.015,1.025191639,0.801,0.842,0.0546,1.79,1.41,132.72413
319,497.0,950,0.015,1.098102498,0.801,0.842,0.0546,1.79,1.41,244.8624766
320,497.0,900,0.12,1.145003015,0.794,0.97,0.07,1.68,0.0,225.1380457
321,497.0,900,0.1197,1.396464843,0.7942,0.9704,0.072,1.683,0.0,225.1418378
322,498.75,900,0.19,1.116423921,0.685,1.031,0.076,1.63,0.0,294.6854898
323,501.025,900,0.2009,1.343564024,0.8037,1.0046,0.112,1.447,0.0,372.3480664
324,501.025,950,0.2009,1.138556049,0.8037,1.0046,0.112,1.447,0.0,422.404024
325,502.25,900,0.121,1.327199166,0.696,0.904,0.09,1.88,0.94,230.6745379
326,502.775,900,0.1205,0.87291751,0.6959,0.9044,0.092,1.876,0.939,240.8905038
327,504.0,275,0.192,1.638362878,0.7178,0.932,0.0,1.92,0.0,88.60283707
328,504.0,900,0.192,1.355924641,0.7178,0.932,0.0,1.92,0.0,213.4241932
329,504.0,375,0.192,1.375736752,0.7178,0.932,0.0,1.92,0.0,129.3794819
330,504.0,950,0.192,1.512333048,0.7178,0.932,0.0,1.92,0.0,277.8977834
331,504.0,900,0.121,1.483943804,0.829,0.908,0.07,1.77,0.0,231.736331
332,504.7,900,0.121,1.638907538,0.8295,0.9079,0.07,1.774,0.0,231.77046
333,505.75,950,0.0,1.629527932,0.8953,0.9132,0.0,1.92,0.0,176.3752003
334,505.75,275,0.0,1.127398749,0.8953,0.9132,0.0,1.92,0.0,64.10196267
335,505.75,375,0.0,1.036390051,0.8953,0.9132,0.0,1.92,0.0,80.28293018
336,505.75,900,0.0,1.065888107,0.8953,0.9132,0.0,1.92,0.0,140.6534487
337,505.75,900,0.134,1.109627638,0.76,0.924,0.06,1.95,0.0,254.3373543
338,505.75,900,0.1337,0.846466694,0.7601,0.9241,0.055,1.949,0.0,254.360107
339,507.85,375,0.1935,1.334518912,0.7043,0.9982,0.0,1.857,0.0,120.2253091
340,507.85,900,0.1935,1.27384247,0.7043,0.9982,0.0,1.857,0.0,181.7372552
341,508.1125,275,0.0,0.993087595,0.865,0.96118,0.0941,1.6808,0.9618,123.7747315
342,508.1125,550,0.0,1.613779909,0.865,0.96118,0.0941,1.6808,0.9618,190.7056142
343,508.1125,900,0.0,1.470701757,0.865,0.96118,0.0941,1.6808,0.9618,191.0469048
344,508.1125,950,0.0,1.377190355,0.865,0.96118,0.0941,1.6808,0.9618,247.966596
345,508.1125,950,0.0,1.393099958,0.865,0.96118,0.0941,1.6808,0.9618,269.3541415
346,516.25,375,0.0,0.96372751,0.769,1.069,0.0,1.85,0.0,81.37885228
347,516.25,900,0.0,1.714035177,0.769,1.069,0.0,1.85,0.0,138.4881494
348,517.4925,275,0.0,1.577151701,0.8592,0.95514,0.0887,1.7154,0.9564,126.201687
349,517.4925,550,0.0,1.601823304,0.8592,0.95514,0.0887,1.7154,0.9564,193.7772298
350,517.4925,900,0.0,1.28316939,0.8592,0.95514,0.0887,1.7154,0.9564,219.6773957
